Taimekaitsevahendi ID,Kasutusala,Kahjustaja,Kulunorm 1,Kulunorm 2,Ühik,Lahuse kontsentratsioon 1,Lahuse kontsentratsioon 2,Kasutamise koht,Piirangud,Töötlemise aeg,Tööoode,Ooteaeg,Töötlemiskordi kasvuperioodil,Töötlemiste intervall
00938,Suhkrumais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.500,1.000,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00939,Mais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.375,0.750,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00939,Suhkrumais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.375,0.750,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00939,Mais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.500,1.000,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00939,Suhkrumais,Lühiealised  kõrrelised umbrohud(GGGAN);Laialehelised umbrohud,0.500,1.000,l/ha,,,Avamaa,"Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsakute kombinatsioonist, mille leiab infolehel vastavast tabelist.",,,,1-2,10-14
00945,Suviraps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),,1.250,l/ha,,,Avamaa,"Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud klomasooni sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud dimeteenamiid-p-d sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Kõrvaliste isikute ja elanike kaitsmiseks kasutada vähemalt 50% triivi vähendavaid otsakuid või pidada kinni mittepritsitavast puhvertsoonist vähemalt 5 m elurajoonidest ja avalikest kohtadest, teedest ja avalikest asutustest.",,,,1,
00945,Taliraps,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.000,1.250,l/ha,,,Avamaa,"Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud dimeteenamiid-p-d sisaldavat vahendit rohkem kui üks kord samal põllul kolme aasta jooksul.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud klomasooni sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Kõrvaliste isikute ja elanike kaitsmiseks kasutada vähemalt 50% triivi vähendavaid otsakuid või pidada kinni mittepritsitavast puhvertsoonist vähemalt 5 m elurajoonidest ja avalikest kohtadest, teedest ja avalikest asutustest.",,,,1,
00945,Sojauba,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.000,1.400,l/ha,,,Avamaa,"Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud klomasooni sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud dimeteenamiid-p-d sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Kõrvaliste isikute ja elanike kaitsmiseks kasutada vähemalt 50% triivi vähendavaid otsakuid või pidada kinni mittepritsitavast puhvertsoonist vähemalt 5 m elurajoonidest ja avalikest kohtadest, teedest ja avalikest asutustest.",,,,1,
00945,Põlduba,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.000,1.400,l/ha,,,Avamaa,"Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud klomasooni sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud dimeteenamiid-p-d sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Kõrvaliste isikute ja elanike kaitsmiseks kasutada vähemalt 50% triivi vähendavaid otsakuid või pidada kinni mittepritsitavast puhvertsoonist vähemalt 5 m elurajoonidest ja avalikest kohtadest, teedest ja avalikest asutustest.",,,,1,
00945,Hernes,Kaheidulehelised umbrohud(TTTDD);Üheidulehelised umbrohud(TTTMM),1.000,1.400,l/ha,,,Avamaa,"Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud klomasooni sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud dimeteenamiid-p-d sisaldavat vahendit rohkem kui üks kord samal põllul kahe aasta jooksul.;Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m põllumajanduses mittekasutatavast maast või kasuta 75% triivi vähendavaid otsikuid.;Kõrvaliste isikute ja elanike kaitsmiseks kasutada vähemalt 50% triivi vähendavaid otsakuid või pidada kinni mittepritsitavast puhvertsoonist vähemalt 5 m elurajoonidest ja avalikest kohtadest, teedest ja avalikest asutustest.",,,,1,
